timestamp,open,high,low,close,volume
05/15/2013,45.72,46.93,45.48,46.03,6702566
05/16/2013,46.06,46.9,46.01,46.21,4605695
05/17/2013,46.03,47.34,45.85,47.17,5245633
05/20/2013,47.12,47.14,46.0701,46.26,3537860
05/21/2013,46.19,46.96,46.17,46.54,4710270
05/22/2013,46.46,48.0,45.85,46.76,5203781
05/23/2013,46.12,46.945,46.02,46.59,3306172
05/24/2013,46.25,46.48,45.3138,45.44,4511668
05/28/2013,45.89,46.04,44.7,45.39,6181992
05/29/2013,44.89,45.18,43.79,43.88,6908441
05/30/2013,44.07,45.12,44.07,44.55,4852723
05/31/2013,44.27,44.69,42.6825,42.69,9309801
06/03/2013,42.88,43.58,42.75,43.36,7177531
06/04/2013,43.42,44.47,43.38,43.63,4528590
06/05/2013,43.49,43.9,42.69,43.04,4801301
06/06/2013,43.22,43.57,42.65,43.5,4261250
06/07/2013,43.72,44.27,43.5,44.0,5463840
06/10/2013,44.33,44.33,43.22,43.92,4703379
06/11/2013,43.31,44.05,43.05,43.59,3574881
06/12/2013,43.91,44.0,42.72,42.77,3742538
06/13/2013,42.42,43.2,40.1,43.15,6096660
06/14/2013,42.98,43.5,42.5,43.21,4078472
06/17/2013,43.4,43.5,42.68,43.01,3457927
06/18/2013,42.97,43.56,42.63,43.54,3645023
06/19/2013,43.56,43.83,43.01,43.04,3663528
06/20/2013,42.65,42.78,40.91,41.06,7476184
06/21/2013,41.66,42.71,41.2,42.62,9825711
06/24/2013,42.07,42.395,41.32,41.89,6044516
06/25/2013,42.15,42.77,41.61,42.63,4687547
06/26/2013,43.1,43.61,43.025,43.38,4733684
06/27/2013,43.56,43.98,42.735,43.13,5164223
06/28/2013,42.53,42.97,41.32,41.34,10754504
07/01/2013,41.4,41.93,41.07,41.61,4589410
07/02/2013,41.58,42.568999999999996,41.58,42.21,4367391
07/03/2013,41.88,42.31,41.61,42.23,2417693
07/05/2013,42.45,42.83,42.31,42.72,2743786
07/08/2013,42.9,43.69,42.82,43.68,3982360
07/09/2013,44.0,44.23,43.25,43.32,3808460
07/10/2013,43.36,44.12,43.36,43.91,3080051
07/11/2013,43.94,44.11,43.33,43.78,4061419
07/12/2013,43.93,45.11,43.8,45.05,5694863
