timestamp,open,high,low,close,volume
05/30/1997,2.4375,2.5,1.3125,1.5,164290000
06/30/1997,1.5104,1.7083,1.375,1.5417,53164100
07/31/1997,1.5417,2.5729,1.5104,2.3958,108604700
08/29/1997,2.3437,2.4166,1.9375,2.3385,31937100
09/30/1997,2.3437,4.8125,2.3125,4.3385,107867900
10/31/1997,4.4375,5.4999,3.5208,5.0833,105188200
11/28/1997,5.2187,5.2187,3.6666,4.125,67798300
12/31/1997,4.2395,5.0416,4.1354,5.0208,64983000
01/30/1998,5.0,5.3437,4.1458,4.9166,112093100
02/27/1998,4.9479,6.6354,4.7708,6.4166,116944800
03/31/1998,6.3229,7.3541,5.8333,7.1275,206820800
04/30/1998,7.1041,8.3332,6.4270000000000005,7.6458,351909500
05/29/1998,7.7291,7.9895,6.6458,7.3437,174871700
06/30/1998,7.3333,17.4582,6.8749,16.6248,583882000
07/31/1998,16.9686,24.4998,15.7082,18.479,663873700
08/31/1998,18.2915,22.9164,13.8499,13.9579,440612000
09/30/1998,12.6874,19.9998,10.8332,18.604,677841800
10/30/1998,17.9998,21.6352,13.3332,21.0727,504416600
11/30/1998,21.354,38.8538,20.1248,31.9997,651792500
12/31/1998,30.9164,60.3119,30.333000000000002,53.5411,724272000
01/29/1999,54.614,99.5625,46.2812,58.4688,646343000
02/26/1999,58.875,65.0,42.125,64.0625,318345800
03/31/1999,63.5,89.0,57.0,86.0938,331009600
04/30/1999,89.6875,110.625,75.5,86.0312,363269200
05/31/1999,83.4375,83.5312,52.25,59.375,303763800
06/30/1999,55.75,64.75,44.875,62.5625,364743800
07/30/1999,62.625,71.25,48.75,50.0312,388581800
08/31/1999,49.1875,67.7812,41.0,62.1875,459082800
09/30/1999,63.5,85.0,57.375,79.9375,321707700
10/29/1999,77.0,90.0,65.875,70.625,254308400
11/30/1999,68.0625,96.875,61.0,85.0625,281150700
12/31/1999,87.25,113.0,76.0,76.125,246464000
01/31/2000,81.5,91.5,58.4375,64.5625,262221600
02/29/2000,67.5,85.9375,63.0625,68.875,207460000
03/31/2000,67.625,75.25,60.0,67.0,156583700
04/28/2000,65.4375,68.625,40.8125,55.1875,162017800
05/31/2000,56.0,62.375,40.4375,48.3125,130667000
06/30/2000,48.875,58.125,32.4688,36.3125,203137600
07/31/2000,36.6875,43.9375,27.875,30.125,198519200
08/31/2000,30.625,43.9688,29.3125,41.5,144460000
09/29/2000,42.125,49.625,35.5,38.4375,133777300
10/31/2000,38.1875,38.4375,19.375,36.625,246729400
11/30/2000,35.8125,40.875,22.125,24.6875,159341600
12/29/2000,24.9375,27.625,14.875,15.5625,202133300
01/31/2001,15.8125,22.375,13.5625,17.3125,210129500
02/28/2001,17.1875,17.1875,9.9375,10.1875,167377400
03/30/2001,9.875,14.0,9.5625,10.23,167677500
04/30/2001,10.33,18.16,8.1,15.78,189910300
05/31/2001,15.9,17.6,13.1,16.69,144758100
06/29/2001,17.22,17.92,11.2,14.15,136859000
07/31/2001,14.1,17.42,11.07,12.49,172609400
08/31/2001,12.73,12.86,8.55,8.94,100859700
09/28/2001,8.95,9.19,5.67,5.97,127017900
10/31/2001,5.91,9.99,5.51,6.98,170340800
11/30/2001,7.08,12.4,6.6,11.32,311844500
12/31/2001,11.02,12.800999999999998,9.51,10.82,212541400
01/31/2002,10.935,15.77,9.03,14.19,322844600
02/28/2002,14.07,14.75,11.06,14.1,164041600
03/29/2002,14.13,16.96,13.55,14.3,163027100
04/30/2002,14.28,17.05,12.52,16.69,159158600
05/31/2002,16.55,20.4,15.75,18.23,154945600
06/28/2002,18.31,19.16,14.68,16.25,142777100
07/31/2002,16.17,17.16,12.26,14.459000000000001,176932100
08/30/2002,14.31,15.99,12.78,14.94,115694700
09/30/2002,14.71,17.93,14.24,15.93,146350800
10/31/2002,16.23,22.03,16.01,19.36,204340100
11/29/2002,19.29,24.5,18.2,23.35,207036400
12/31/2002,24.15,25.0,18.43,18.89,156280600
01/31/2003,19.19,23.289,18.55,21.85,170020200
02/28/2003,21.94,22.5,19.61,22.01,116351800
03/31/2003,22.15,28.04,21.36,26.03,163424000
04/30/2003,25.55,29.19,24.13,28.69,221856700
05/30/2003,28.68,36.09,28.15,35.89,191327500
06/30/2003,36.5,37.24,32.83,36.32,172520700
07/31/2003,36.33,43.1,34.0,41.64,229796200
08/29/2003,41.41,46.95,38.28,46.32,151128300
09/30/2003,46.52,51.3,44.73,48.43,203077500
10/31/2003,48.37,61.15,47.51,54.43,289009700
11/28/2003,54.8,57.49,47.67,53.97,182249400
12/31/2003,54.4,54.94,47.0,52.62,194307100
01/30/2004,52.76,57.82,48.6,50.4,218366200
02/27/2004,50.56,50.65,42.23,43.01,186455700
03/31/2004,42.88,45.06,39.15,43.28,154993800
04/30/2004,43.44,49.1,43.3,43.6,163033400
05/31/2004,43.77,48.68,40.55,48.5,150431300
06/30/2004,47.88,54.7,47.7,54.4,162044200
07/30/2004,53.78,54.04,37.38,38.92,202729900
08/31/2004,38.45,40.83,34.85,38.14,180199000
09/30/2004,38.23,44.28,37.36,40.86,176832100
10/29/2004,41.24,42.7,33.0,34.13,209334000
11/30/2004,34.23,41.5,34.15,39.68,168919600
12/31/2004,40.0,45.68,37.99,44.29,176431300
01/31/2005,45.05,45.44,40.26,43.22,195404400
02/28/2005,43.0,43.59,33.2,35.18,221141900
03/31/2005,35.06,36.4299,32.82,34.27,120201200
04/29/2005,34.63,35.34,30.6,32.36,165968100
05/31/2005,32.3,36.04,32.1,35.51,117226500
06/30/2005,35.57,36.99,32.93,33.09,106658100
07/29/2005,33.24,45.81,32.79,45.15,184260800
08/31/2005,44.88,46.97,41.91,42.7,115583000
09/30/2005,42.52,45.84,40.5,45.3,104876600
10/31/2005,45.33,47.0,38.72,39.86,147822400
11/30/2005,39.97,49.43,39.65,48.46,216640500
12/30/2005,48.88,50.001000000000005,47.14,47.15,121181300
01/31/2006,47.47,48.58,43.1,44.82,123459200
02/28/2006,43.92,44.69,37.05,37.44,165627800
03/31/2006,37.45,37.83,35.1391,36.53,122207000
04/28/2006,36.67,38.84,35.01,35.21,106809100
05/31/2006,35.19,36.5,31.52,34.61,145706600
06/30/2006,34.625,38.84,32.42,38.68,115152900
07/31/2006,38.52,38.62,25.96,26.89,229519200
08/31/2006,26.55,30.99,25.76,30.83,159739800
09/29/2006,30.85,32.81,29.68,32.12,146084700
10/31/2006,31.98,38.59,30.58,38.09,209920500
11/30/2006,38.125,43.25,36.87,40.34,146944900
12/29/2006,40.26,40.64,37.7,39.46,121192100
01/31/2007,38.68,39.14,36.3,37.67,130489100
02/28/2007,37.95,42.0,36.68,39.14,158805500
03/30/2007,39.32,40.24,37.04,39.79,142228300
04/30/2007,39.85,63.84,39.55,61.33,348358700
05/31/2007,61.12,73.31,59.7,69.14,330590400
06/29/2007,68.9,74.72,66.71,68.41,239426400
07/31/2007,68.81,89.0,68.01,78.54,265328500
08/31/2007,78.1,80.8,70.05,79.91,175516600
09/28/2007,79.9,94.26,79.73,93.15,122278800
10/31/2007,93.42,101.09,83.27,89.15,231647300
11/30/2007,87.75,91.47,76.5,90.56,180209400
12/31/2007,90.03,95.94,83.86,92.64,127197600
01/31/2008,95.35,97.43,68.84,77.7,288399800
02/29/2008,79.02,79.4,63.97,64.47,211250700
03/31/2008,63.59,76.93,61.2,71.3,192745300
04/30/2008,72.99,82.64,70.65,78.63,197888100
05/30/2008,78.4,84.75,71.56,81.62,152591600
06/30/2008,81.15,84.88,72.62,73.33,153317000
07/31/2008,72.24,82.38,62.99,76.34,215843400
08/29/2008,76.36,91.75,74.05,80.81,149065500
09/30/2008,83.16,86.77,61.32,72.76,192544900
10/31/2008,71.78,71.99,43.31,57.24,332185000
11/28/2008,56.35,58.73,34.68,42.7,228317500
12/31/2008,42.0,54.85,38.82,51.28,206353600
01/30/2009,51.35,59.74,47.63,58.82,204317600
02/27/2009,58.57,67.36,58.13,64.79,186830400
03/31/2009,63.94,75.61,59.82,73.44,227730900
04/30/2009,73.015,86.68,71.71,80.52,185081300
05/29/2009,80.38,83.6,73.1,77.99,137638800
06/30/2009,78.21,88.56,76.25,83.66,152106600
07/31/2009,84.42,94.4,75.41,85.76,175505500
08/31/2009,86.56,88.2,80.25,81.19,112646500
09/30/2009,80.74,94.5,77.51,93.36,128158500
10/30/2009,92.5,125.68,88.27,118.81,268646200
11/30/2009,118.66,136.08,116.25,135.91,160366700
12/31/2009,136.94,145.91,125.6474,134.52,207533400
01/29/2010,136.25,136.61,118.12,125.41,230957400
02/26/2010,123.18,124.86,113.82,118.4,210201200
03/31/2010,118.85,138.19,117.53,135.77,158100400
04/30/2010,135.8,151.09,130.78,137.1,173062900
05/31/2010,137.2,139.44,117.52,125.46,141173400
06/30/2010,124.97,129.15,106.01,109.26,133432300
07/30/2010,108.9,124.88,105.8,117.89,175351500
08/31/2010,119.15,130.81,117.57,124.83,113508500
09/30/2010,126.36,161.78,126.17,157.06,134393800
10/29/2010,157.08,171.99,151.4,165.23,143079500
11/30/2010,164.45,181.8425,156.77,175.4,131120800
12/31/2010,179.16,185.65,173.09,180.0,93729000
01/31/2011,181.37,191.6,166.9,169.64,113664500
02/28/2011,170.52,191.4,169.51,173.29,95852000
03/31/2011,173.53,181.57,160.59,180.13,119022400
04/29/2011,181.58,197.8,175.37,195.81,116805400
05/31/2011,196.57,206.39,190.88,196.69,106355800
06/30/2011,196.06,206.25,181.59,204.49,95601200
07/29/2011,205.55,227.2,203.61,222.52,92848300
08/31/2011,225.0,227.45,177.1,215.23,155250000
09/30/2011,215.28,244.0,204.47,216.23,143676600
10/31/2011,217.01,246.71,196.51,213.51,159274600
11/30/2011,208.11,222.35,181.51,192.29,136633400
12/30/2011,191.85,199.66,166.97,173.1,125627000
01/31/2012,175.89,196.5,173.5,194.44,110583800
02/29/2012,173.81,193.57,172.0,179.69,146626200
03/30/2012,179.89,209.85,176.58,202.51,112999700
04/30/2012,198.02,233.84,183.65,231.9,110558800
05/31/2012,229.4,232.97,207.11,212.91,92805400
06/29/2012,208.44,228.35,206.37,228.35,65770900
07/31/2012,229.3,240.74,212.61,233.3,77371500
08/31/2012,234.14,250.0,228.66,248.27,60204500
09/28/2012,248.27,264.1101,244.66,254.32,63589200
10/31/2012,255.4,261.8999,222.92,232.8931,81591300
11/30/2012,234.23,252.65,218.18,252.05,67239500
12/31/2012,252.54,263.1101,242.75,250.87,60892700
01/31/2013,256.0801,284.72,253.26,265.5,84264300
02/28/2013,268.9299,274.3,255.11,264.27,68687000
03/29/2013,263.27,277.3999,252.07,266.49,58524100
04/30/2013,266.98,275.8,248.56,253.81,76945600
05/31/2013,253.9,271.9099,245.75,269.2,59068000
06/28/2013,268.96,283.3401,262.95,277.6899,58597300
07/31/2013,279.0,313.6201,277.1599,301.22,67641000
08/30/2013,303.0801,306.21,279.3301,280.98,43808700
09/30/2013,284.73,320.5701,284.1699,312.6399,43504800
10/31/2013,314.22,368.3999,296.5024,364.03,77363600
11/29/2013,365.63,394.0999,341.88,393.62,54248200
12/31/2013,399.0,405.63,379.5,398.79,55737800
01/31/2014,398.8,408.06,357.76,358.69,81581100
02/28/2014,358.98,365.865,337.73,362.1,83112500
03/31/2014,358.735,383.11,330.88,336.365,75312600
04/30/2014,338.09,348.295,288.0,304.13,138318800
05/30/2014,304.13,314.87,284.38,312.55,78608900
06/30/2014,312.59,340.7199,303.84,324.78,76634700
07/31/2014,325.86,364.85,311.86,312.99,99490700
08/29/2014,313.69,346.67,304.58799999999997,339.04,62078000
09/30/2014,339.98,349.38,317.64,322.44,68101200
10/31/2014,322.04,325.16,284.0,305.46,111120600
11/28/2014,306.24,341.26,292.29,338.64,68993000
12/31/2014,338.12,340.64,293.03,310.35,86874200
01/30/2015,312.58,359.5,285.25,354.53,103061900
02/27/2015,350.05,389.37,350.01,380.16,70847200
03/31/2015,380.85,388.4182,365.65,372.1,55502700
04/30/2015,372.1,452.65,368.34,421.78,84404900
05/29/2015,423.82,439.0,414.55,429.23,51984200
06/30/2015,430.4,447.04,419.14,434.09,54989200
07/31/2015,439.35,580.57,425.57,536.15,102069900
08/31/2015,537.45,542.74,451.0,512.89,82915700
09/30/2015,499.14,549.78,490.5,511.89,76768800
10/30/2015,511.0,630.72,506.0,625.9,97188800
11/30/2015,627.13,682.77,620.41,664.8,87304800
12/31/2015,673.75,696.44,635.27,675.89,90220800
01/29/2016,656.29,657.715,547.18,587.0,130200800
02/29/2016,578.15,581.8,474.0,552.52,124144800
03/31/2016,556.29,603.24,538.58,593.64,94015000
04/29/2016,590.49,669.98,585.25,659.59,78464300
05/31/2016,663.92,724.23,656.0,722.79,90623100
06/30/2016,720.9,731.5,682.115,715.62,74556800
07/29/2016,717.32,766.0,716.54,758.81,68635400
08/31/2016,759.87,774.98,750.35,769.16,50000400
09/30/2016,770.9,839.95,756.0,837.31,67354100
10/31/2016,836.0,847.21,774.61,789.82,77063800
