timestamp,open,high,low,close,volume
07/10/2009,77.52,78.82,76.17,77.63,5976109
07/13/2009,78.07,81.65,78.01,81.47,8051113
07/14/2009,81.48,82.42,80.42,81.95,4550910
07/15/2009,83.0,84.64,82.78,84.55,6340816
07/16/2009,84.42,86.24,83.72,86.11,5362602
07/17/2009,85.8,86.5,85.2,85.85,5061141
07/20/2009,86.27,88.88,86.26,88.23,6059711
07/21/2009,88.52,89.01,87.4,89.01,7728516
07/22/2009,88.65,89.2276,87.78,88.79,5329527
07/23/2009,89.84,94.4,89.59,93.87,19162080
07/24/2009,87.6,88.9,85.5,86.49,19213472
07/27/2009,86.24,86.49,83.56,84.24,11282176
07/28/2009,83.84,85.64,82.6,84.98,8774875
07/29/2009,84.47,85.5,83.52,84.34,6504207
07/30/2009,85.64,87.25,85.17,86.09,7257203
07/31/2009,85.76,86.75,84.62,85.76,5887770
08/03/2009,86.56,88.2,86.56,87.44,6665594
08/04/2009,87.48,87.48,84.93,85.8,6180160
08/05/2009,85.64,85.75,83.02,84.29,7281547
08/06/2009,84.31,84.84,83.05,84.47,4694000
08/07/2009,84.1,85.96,84.1,85.32,5628191
08/10/2009,85.01,85.47,83.27,84.44,4440910
08/11/2009,83.64,84.4,82.45,83.56,5026344
08/12/2009,83.42,86.6,83.38,85.96,5619570
08/13/2009,85.72,86.37,84.07,84.6,5714438
08/14/2009,84.11,84.17,82.78,83.58,4925496
08/17/2009,81.16,81.78,80.25,81.06,6890797
08/18/2009,81.41,82.6898,80.79,82.12,5884828
08/19/2009,80.91,83.0,80.49,83.0,5173180
08/20/2009,82.98,84.35,82.66,84.09,5375543
08/21/2009,84.78,85.06,83.54,85.0,6131242
08/24/2009,85.17,85.59,84.24,84.5,4723379
08/25/2009,84.66,86.34,83.95,84.19,4794574
08/26/2009,84.1,84.76,83.38,84.0,3613748
08/27/2009,84.01,84.85,83.14,84.31,3998522
08/28/2009,84.78,84.99,82.57,82.76,4620727
08/31/2009,81.93,81.95,80.35,81.19,5263746
09/01/2009,80.74,82.42,79.0,79.16,6246457
09/02/2009,79.035,80.15,77.8,78.14,6521512
09/03/2009,78.39,78.96,77.51,78.46,4140402
09/04/2009,78.27,79.78,77.63,78.87,4672738
09/08/2009,79.86,81.04,78.87,80.9,7037953
09/09/2009,80.5999,82.63,80.5,82.24,6776289
09/10/2009,82.33,84.07,82.3,83.85,7024879
09/11/2009,84.44,84.9,83.76,84.54,6008762
09/14/2009,83.81,84.57,83.46,83.86,3572198
09/15/2009,84.17,84.41,82.79,83.55,4453316
09/16/2009,85.91,90.98,85.9,90.7,13114219
09/17/2009,90.75,91.19,89.0,90.44,7873926
09/18/2009,90.74,91.0,89.47,90.28,6770504
09/21/2009,89.69,90.76,88.48,90.56,4211824
09/22/2009,91.46,94.19,91.1,93.75,8268508
09/23/2009,92.82,94.5,92.22,92.38,5685738
09/24/2009,92.0,92.71,90.77,92.11,5078652
09/25/2009,91.44,92.25,89.75,90.52,4257438
09/28/2009,91.04,92.81,90.6,92.21,3508883
09/29/2009,91.96,92.33,90.1,91.72,4395117
09/30/2009,92.26,94.17,91.43,93.36,8539172
10/01/2009,92.5,92.9,90.37,91.04,6645102
10/02/2009,90.05,91.14,89.58,89.85,5040762
10/05/2009,90.25,90.93,88.27,88.67,7030859
10/06/2009,89.33,91.08,88.4,90.91,6964195
10/07/2009,91.5,94.48,91.15,93.97,7446535
10/08/2009,94.8,96.72,94.23,95.22,9679473
10/09/2009,95.0,95.95,94.26,95.71,4696039
10/12/2009,96.17,96.25,93.07,93.6,5592820
10/13/2009,93.83,95.25,93.6801,94.83,4721887
10/14/2009,96.22,97.82,96.02,97.46,5556727
