timestamp,open,high,low,close,volume
12/23/2008,87.53,87.93,85.8,86.16,221772560
12/24/2008,86.45,86.87,86.0,86.66,62142416
12/26/2008,87.24,87.3,86.5,87.16,74775808
12/29/2008,87.24,87.33,85.6,86.91,128419184
12/30/2008,87.51,89.05,86.8766,88.97,168555680
12/31/2008,89.08,90.97,88.87,90.24,194141808
01/02/2009,90.44,93.44,89.85,92.96,227638496
01/05/2009,92.63,94.5533,91.89,92.85,240697632
01/06/2009,93.64,94.45,92.68,93.47,328481792
01/07/2009,92.0,92.26,90.2,90.67,281047552
01/08/2009,90.16,91.09,89.67,91.042,263834368
01/09/2009,91.16,91.32,85.36,89.09,331160832
01/12/2009,88.84,88.91,86.41,86.95,278008320
01/13/2009,86.73,87.88,86.2,87.11,356731648
01/14/2009,85.54,85.75,83.16,84.37,435967232
01/15/2009,84.12,85.25,81.72,84.4,533808896
01/16/2009,85.86,85.9876,83.05,85.06,399307008
01/20/2009,84.23,85.059,80.05,80.57,420108544
01/21/2009,81.94,84.24,80.47,84.05,364767232
01/22/2009,82.42,84.04,81.17,82.75,427940352
01/23/2009,80.9,83.99,80.57,83.11,386800640
01/26/2009,83.59,85.36,82.81,83.68,318269440
01/27/2009,84.13,85.15,83.3,84.53,274112000
01/28/2009,86.4,87.95,86.07,87.39,330317312
01/29/2009,86.11,87.4901,84.47,84.55,294591488
01/30/2009,84.98,85.4,82.21,82.83,383464192
02/02/2009,81.57,83.18,81.31,82.58,288488960
02/03/2009,83.1,84.36,82.22,83.74,278480640
02/04/2009,84.3,85.37,83.04,83.33,322993920
02/05/2009,82.7,85.29,77.73,84.57,417679872
02/06/2009,84.86,87.34,84.68,86.979,366101504
02/09/2009,86.96,87.74,86.32,87.1,240075120
02/10/2009,86.27,87.03,82.45,83.11,536212736
02/11/2009,83.45,84.05,82.4,83.6,324674560
02/12/2009,82.17,83.82,81.05,83.66,469302272
02/13/2009,83.55,84.24,82.74,82.76,293998336
